iter	Passed	Remaining
403	10094	14892
404	10120	14868
405	10145	14843
406	10171	14820
407	10198	14797
408	10222	14772
409	10248	14747
410	10273	14722
411	10298	14697
412	10322	14671
413	10347	14646
414	10372	14621
415	10377	14568
416	10404	14545
417	10431	14523
418	10432	14466
419	10457	14441
420	10469	14399
421	10495	14374
422	10519	14349
423	10520	14292
424	10523	14237
425	10547	14212
426	10571	14186
427	10583	14144
428	10608	14119
429	10632	14094
430	10657	14069
431	10683	14046
432	10707	14020
433	10712	13970
434	10738	13948
435	10763	13923
436	10788	13898
437	10812	13873
438	10837	13848
439	10862	13825
440	10888	13802
441	10913	13777
442	10938	13753
443	10962	13728
444	10974	13687
445	10998	13661
446	11022	13636
447	11046	13611
448	11070	13585
449	11094	13559
450	11118	13534
451	11142	13509
452	11167	13484
453	11191	13458
454	11215	13434
455	11216	13381
456	11241	13356
457	11266	13332
458	11290	13307
459	11315	13283
460	11340	13258
461	11364	13233
462	11376	13194
463	11402	13172
464	11429	13150
465	11453	13125
466	11478	13100
467	11502	13075
468	11528	13052
469	11554	13029
470	11557	12980
471	11581	12956
472	11606	12931
473	11609	12883
474	11633	12858
475	11647	12821
476	11674	12799
477	11700	12777
478	11725	12754
479	11751	12730
480	11776	12706
481	11801	12683
482	11802	12633
483	11828	12610
484	11854	12588
485	11882	12567
486	11907	12543
487	11931	12518
488	11955	12493
489	11981	12470
490	11982	12421
491	12008	12398
492	12032	12374
493	12056	12349
494	12061	12304
495	12072	12267
496	12096	12242
497	12120	12217
498	12123	12171
499	12147	12147
500	12172	12123
501	12197	12099
502	12221	12075
503	12222	12028
504	12247	12004
505	12272	11981
506	12273	11934
507	12298	11911
508	12323	11888
509	12349	11865
510	12375	11842
511	12400	11819
512	12425	11795
513	12449	11771
514	12476	11750
515	12503	11727
516	12528	11704
517	12552	11680
518	12577	11656
519	12604	11634
520	12617	11600
521	12643	11577
522	12667	11553
523	12668	11507
524	12693	11484
525	12718	11461
526	12744	11438
527	12769	11415
528	12795	11392
529	12821	11369
530	12847	11347
531	12874	11325
532	12900	11302
533	12925	11279
534	12950	11256
535	12975	11232
536	13001	11209
537	13026	11186
538	13051	11163
539	13076	11139
540	13103	11117
541	13128	11093
542	13152	11069
543	13178	11046
544	13205	11024
545	13217	10990
546	13241	10966
547	13266	10942
548	13292	10919
549	13317	10895
550	13341	10871
551	13366	10848
552	13390	10824
553	13414	10799
554	13439	10775
555	13464	10752
556	13465	10709
557	13491	10686
558	13517	10663
559	13541	10640
560	13566	10616
561	13568	10574
562	13573	10535
563	13596	10510
564	13620	10486
565	13645	10462
566	13670	10439
567	13696	10417
568	13725	10396
569	13726	10354
570	13752	10332
571	13778	10309
572	13804	10287
573	13831	10264
574	13857	10242
575	13883	10220
576	13884	10179
577	13911	10156
578	13937	10134
579	13964	10112
580	13989	10089
581	13992	10049
582	13995	10010
583	14020	9987
584	14046	9964
585	14073	9942
586	14098	9919
587	14124	9896
588	14149	9873
589	14150	9833
590	14175	9810
591	14199	9786
592	14201	9747
