iter	RMSE
0	0.4647182647
1	0.4540706383
2	0.44343648
3	0.4323833891
4	0.4226437682
5	0.4148644399
6	0.4054623902
7	0.3976323708
8	0.3894939
9	0.3830801865
10	0.3757462515
11	0.3682822986
12	0.3598520231
13	0.3523052418
14	0.3442763764
15	0.3379726749
16	0.3304936345
17	0.3245704951
18	0.317636453
19	0.3134211484
20	0.3075552687
21	0.3014294253
22	0.2945946605
23	0.2888760989
24	0.2824264507
25	0.2758054517
26	0.2704537766
27	0.2647612786
28	0.2599991796
29	0.2539167904
30	0.2490245832
31	0.2438217956
32	0.2387220465
33	0.2336589487
34	0.2288261143
35	0.2238303021
36	0.2193017075
37	0.215265827
38	0.2110321356
39	0.2065275785
40	0.2023772947
41	0.198925943
42	0.1953441099
43	0.1914115598
44	0.187574234
45	0.1840494637
46	0.1804354717
47	0.1769485772
48	0.1733060068
49	0.17088591
50	0.1677177371
51	0.165081599
52	0.1618002776
53	0.159062607
54	0.1559255724
55	0.152916007
56	0.1499632963
57	0.1466442444
58	0.1437563732
59	0.1409406662
60	0.1383019829
61	0.1354443084
62	0.1327848372
63	0.1302727818
64	0.1281520907
65	0.1255843458
66	0.12357206
67	0.1217230908
68	0.1196247081
69	0.1175824755
70	0.1152628316
71	0.1133251388
72	0.111069189
73	0.1093000144
74	0.1071596285
75	0.105087731
76	0.1038632073
77	0.1018652777
78	0.09949962848
79	0.09762692657
80	0.09608033637
81	0.09400531269
82	0.09206083483
83	0.0900821044
84	0.08852070088
85	0.08708827139
86	0.08523946711
87	0.08394409767
88	0.08234442722
89	0.08080797051
90	0.07974079383
91	0.07867353308
92	0.07726106072
93	0.07604709226
94	0.07457749789
95	0.07324203872
96	0.07204787434
97	0.07059491004
98	0.06914114138
99	0.06775253705
100	0.06676451507
101	0.06520544288
102	0.06413974912
103	0.06326412072
104	0.06210145238
105	0.06094105211
106	0.0602612965
107	0.05963252551
108	0.05870851317
109	0.05752522025
110	0.05631465868
111	0.05532089043
112	0.05438203455
113	0.05327467582
114	0.05225335296
115	0.05142035544
116	0.05056657126
117	0.04954778501
118	0.04871049382
119	0.04794164674
120	0.04708325307
121	0.04656886295
122	0.04565686259
123	0.04462982968
124	0.04373168805
125	0.04293671367
126	0.04222554933
127	0.04151534168
128	0.04061299558
129	0.04000455107
130	0.03916402331
131	0.03846393175
132	0.03781310859
133	0.03729316111
134	0.03654945053
135	0.0359742844
136	0.03525205659
137	0.03461815578
138	0.0341992723
139	0.03364347775
140	0.033079792
141	0.03240525514
142	0.03174731536
143	0.03116548171
144	0.0305633182
145	0.02992737872
146	0.02939638088
147	0.02884417477
148	0.02828005414
149	0.02784145749
150	0.02730727327
151	0.02672837644
152	0.02635641258
153	0.02595074567
154	0.02548233315
155	0.02505883303
156	0.02451563735
157	0.02409224296
158	0.02356389657
159	0.02311561543
160	0.02268283842
161	0.02229616692
162	0.02199956857
163	0.02158949217
164	0.02128256082
165	0.02088168936
166	0.02046598038
167	0.02011098221
168	0.01981124301
169	0.01943802923
170	0.01908247412
171	0.0187068007
172	0.01836468199
173	0.01806219195
174	0.01774551465
